chemical_name,CAS_or_EDF_Substance_ID,inhalation_cancer_potency,inhalation_cancer_potency_units,inhalation_cancer_potency_source,inhalation_reference_concentration,inhalation_reference_concentration_units,inhalation_reference_concentration_source,national_ambient_air_quality_std,national_ambient_air_quality_std_units,national_ambient_air_quality_std_source,Nat_Agg_PV
OZONE,10028-15-6,,,,180,ug/m3,CAPCOA,0.12,"ppm, 1 hr",NAAQS,
HYDRAZINE SULFATE,10034-93-2,0.00086,[ug/m3]-1,OEHHA-TCD,0.0002,mg/m3,TRI,,,,
HYDROBROMIDE ACID,10035-10-6,,,,24,ug/m3,CAPCOA,,,,"100,000,000 - 250,000,000 lb"
ETHYLBENZENE,100-41-4,,,,2000,ug/m3,OEHHA2003_CREL_UG_M3,,,,"10,000,000,000 - 20,000,000,000 lb"
STYRENE,100-42-5,,,,900,ug/m3,OEHHA2003_CREL_UG_M3,,,,"10,000,000,000 - 20,000,000,000 lb"
BORIC ACID,10043-35-3,,,,,,,,,,"500,000,000 - 750,000,000 lb"
RADON,10043-92-2,,,,,,,,,,
BENZYL CHLORIDE,100-44-7,4.9E-05,[ug/m3]-1,OEHHA-TCD,12,ug/m3,CAPCOA,,,,"50,000,000 - 100,000,000 lb"
CHLORINE DIOXIDE,10049-04-4,,,,0.6,ug/m3,OEHHA2003_CREL_UG_M3,,,,"1,000,000,000 - 5,000,000,000 lb"
ALMOND ARTIFICIAL ESSENTIAL OIL,100-52-7,,,,,,,,,,"10,000,000 - 50,000,000 lb"
N-NITROSOPIPERIDINE,100-75-4,0.0027,[ug/m3]-1,OEHHA-TCD,,,,,,,
SODIUM SELENITE (H2O3SE.2NA),10102-18-8,,,,20,ug/m3,OEHHA-CREL,,,,
NITROGEN DIOXIDE,10102-44-0,,,,20,ug/m3,OEHHA-CREL,100,"ug/m3, 1 yr",NAAQS,
"4,4'-METHYLENEBIS(2-CHLOROANILINE)",101-14-4,0.00043,[ug/m3]-1,OEHHA-TCD,,,,,,,"1,000,000 - 10,000,000 lb"
"1,1'-METHYLENEBIS(4-ISOCYANATOBENZENE)",101-68-8,,,,0.7,ug/m3,OEHHA2003_CREL_UG_M3,,,,"750,000,000 - 1,000,000,000 lb"
CAPROLACTAM,105-60-2,,,,,,,,,,"1,000,000,000 - 5,000,000,000 lb"
"2,4-DIMETHYLPHENOL",105-67-9,,,,,,,,,,"10,000,000 - 50,000,000 lb"
SODIUM BICHROMATE,10588-01-9,,,,0.2,ug/m3,OEHHA-CREL,,,,"100,000,000 - 250,000,000 lb"
CHLORAMINE,10599-90-3,,,,,,,,,,
CARBENDAZIM,10605-21-7,6.82857142857143E-07,[ug/m3]-1,OPP-CAN,,,,,,,
P-XYLENE,106-42-3,,,,200,ug/m3,OEHHA-CREL,,,,"5,000,000,000 - 10,000,000,000 lb"
P-CRESOL,106-44-5,,,,4,ug/m3,OEHHA-CREL,,,,"50,000,000 - 100,000,000 lb"
"1,4-DICHLOROBENZENE",106-46-7,1.1E-05,[ug/m3]-1,OEHHA-TCD,800,ug/m3,OEHHA2003_CREL_UG_M3,,,,"50,000,000 - 100,000,000 lb"
P-PHENYLENEDIAMINE,106-50-3,,,,,,,,,,Withheld
COKE OVEN EMISSIONS,1066,0.00062,[ug/m3]-1,OEHHA-TCD,,,,,,,
"1,2-BUTYLENE OXIDE",106-88-7,,,,20,ug/m3,OEHHA2003_CREL_UG_M3,,,,Withheld
EPICHLOROHYDRIN,106-89-8,2.3E-05,[ug/m3]-1,OEHHA-TCD,3,ug/m3,OEHHA2003_CREL_UG_M3,,,,"250,000,000 - 500,000,000 lb"
"1,2-DIBROMOETHANE",106-93-4,7.1E-05,[ug/m3]-1,OEHHA-TCD,0.8,ug/m3,OEHHA2003_CREL_UG_M3,,,,Withheld
"1,3-BUTADIENE",106-99-0,0.00017,[ug/m3]-1,OEHHA-TCD,20,ug/m3,OEHHA2003_CREL_UG_M3,,,,"1,000,000,000 - 5,000,000,000 lb"
"1,2-DICHLOROETHANE",107-06-2,2.1E-05,[ug/m3]-1,OEHHA-TCD,400,ug/m3,OEHHA2003_CREL_UG_M3,,,,"20,000,000,000 - 30,000,000,000 lb"
ETHYLENEDIAMINE,107-15-3,,,,,,,,,,"100,000,000 - 250,000,000 lb"
GLYPHOSATE,1071-83-6,,,,,,,,,,
ETHYLENE GLYCOL,107-21-1,,,,400,ug/m3,OEHHA2003_CREL_UG_M3,,,,"5,000,000,000 - 10,000,000,000 lb"
CYANIDE COMPOUNDS,1073,,,,0.003,mg/m3,TRI,,,,
CHLOROMETHYL METHYL ETHER,107-30-2,0.00069,[ug/m3]-1,OEHHA-TCD,,,,,,,Withheld
DIBENZOFURANS (CHLORINATED),1080,,,,4E-05,ug/m3,OEHHA2003_CREL_UG_M3,,,,
VINYL ACETATE,108-05-4,,,,200,ug/m3,OEHHA2003_CREL_UG_M3,,,,"1,000,000,000 - 5,000,000,000 lb"
METHYL ISOBUTYL KETONE,108-10-1,,,,3,mg/m3,IRIS,,,,"100,000,000 - 250,000,000 lb"
MALEIC ANHYDRIDE,108-31-6,,,,0.7,ug/m3,OEHHA2003_CREL_UG_M3,,,,"500,000,000 - 750,000,000 lb"
M-XYLENE,108-38-3,,,,200,ug/m3,OEHHA-CREL,,,,"250,000,000 - 500,000,000 lb"
M-CRESOL,108-39-4,,,,4,ug/m3,OEHHA-CREL,,,,"50,000,000 - 100,000,000 lb"
MESITYLENE,108-67-8,,,,,,,,,,"1,000,000 - 10,000,000 lb"
TOLUENE,108-88-3,,,,300,ug/m3,OEHHA2003_CREL_UG_M3,,,,"10,000,000,000 - 20,000,000,000 lb"
CYCLOHEXYLAMINE,108-91-8,,,,,,,,,,"10,000,000 - 50,000,000 lb"
CYCLOHEXANONE,108-94-1,,,,,,,,,,"1,000,000,000 - 5,000,000,000 lb"
PHENOL,108-95-2,,,,200,ug/m3,OEHHA2003_CREL_UG_M3,,,,"1,000,000,000 - 5,000,000,000 lb"
MALONONITRILE,109-77-3,,,,,,,,,,"500,000 - 1,000,000 lb"
ETHYLENE GLYCOL MONOMETHYL ETHER,109-86-4,,,,60,ug/m3,OEHHA2003_CREL_UG_M3,,,,"1,000,000 - 10,000,000 lb"
FURAN,110-00-9,,,,,,,,,,Withheld
ETHYLENE GLYCOL MONOMETHYL ETHER ACETATE,110-49-6,,,,90,ug/m3,OEHHA2003_CREL_UG_M3,,,,
N-HEXANE,110-54-3,,,,7000,ug/m3,OEHHA2003_CREL_UG_M3,,,,"1,000,000,000 - 5,000,000,000 lb"
ETHYLENE GLYCOL MONOETHYL ETHER,110-80-5,,,,70,ug/m3,OEHHA2003_CREL_UG_M3,,,,"500,000 - 1,000,000 lb"
PYRIDINE,110-86-1,,,,0.007,mg/m3,HWIR,,,,"10,000,000 - 50,000,000 lb"
GASOLINE VAPORS,1110,,,,2100,ug/m3,CAPCOA,,,,
GLUTARALDHYDE,111-30-8,,,,0.08,ug/m3,OEHHA2003_CREL_UG_M3,,,,"1,000,000 - 10,000,000 lb"
DIETHANOLAMINE,111-42-2,,,,3,ug/m3,OEHHA2003_CREL_UG_M3,,,,"5,000,000,000 - 10,000,000,000 lb"
N-NITROSODIETHANOLAMINE,1116-54-7,0.0008,[ug/m3]-1,OEHHA-TCD,,,,,,,
ETHYLENE GLYCOL MONOBUTYL ETHER,111-76-2,,,,700,ug/m3,OEHHA-CREL,,,,"500,000,000 - 750,000,000 lb"
PROPANE SULTONE,1120-71-4,0.00069,[ug/m3]-1,OEHHA-TCD,,,,,,,
MINERAL FIBERS,1136,,,,24,ug/m3,CAPCOA,,,,
PROPYLENE,115-07-1,,,,3000,ug/m3,OEHHA2003_CREL_UG_M3,,,,"40,000,000,000 - 50,000,000,000 lb"
ENDOSULFAN,115-29-7,,,,,,,,,,
SILICA,1175,,,,3,ug/m3,OEHHA2003_CREL_UG_M3,,,,
"2,4,6-TRINITROTOLUENE",118-96-7,8.57142857142857E-06,[ug/m3]-1,IRIS,,,,,,,"1,000,000 - 10,000,000 lb"
"3,3'-DIMETHOXYBENZIDINE",119-90-4,0.000133333333333,[ug/m3]-1,OEHHA-NSRL,,,,,,,
NICKEL SUBSULFIDE,12035-72-2,0.00049,[ug/m3]-1,OEHHA-TCD,,,,,,,"1,000,000 - 10,000,000 lb"
TRIETHYLAMINE,121-44-8,,,,200,ug/m3,OEHHA2003_CREL_UG_M3,,,,"10,000,000 - 50,000,000 lb"
MALATHION,121-75-5,,,,0.02,mg/m3,ATSDR,,,,
FENITROTHION,122-14-5,,,,,,,,,,
DIPHENYLAMINE,122-39-4,,,,,,,,,,"50,000,000 - 100,000,000 lb"
PHENYL GLYCIDYL ETHER,122-60-1,4E-06,[ug/m3]-1,OEHHA-NSRL,,,,,,,"100,000 - 500,000 lb"
HYDROQUINONE,123-31-9,1.6E-05,[ug/m3]-1,TRI,,,,,,,"10,000,000 - 50,000,000 lb"
"CROTONALDEHYDE, (E)-",123-73-9,0.000542857142857,[ug/m3]-1,HEAST,,,,,,,
"1,4-DIOXANE",123-91-1,7.7E-06,[ug/m3]-1,OEHHA-TCD,3000,ug/m3,OEHHA2003_CREL_UG_M3,,,,"1,000,000 - 10,000,000 lb"
DIMETHYLAMINE,124-40-3,,,,2,ug/m3,CAPCOA,,,,"250,000,000 - 500,000,000 lb"
METHACRYLONITRILE,126-98-7,,,,0.0007,mg/m3,HEAST,,,,
TETRACHLOROETHYLENE,127-18-4,5.9E-06,[ug/m3]-1,OEHHA-TCD,35,ug/m3,OEHHA2003_CREL_UG_M3,,,,"250,000,000 - 500,000,000 lb"
DIMETHYL PHTHALATE,131-11-3,,,,,,,,,,"1,000,000 - 10,000,000 lb"
MOLYBDENUM TRIOXIDE,1313-27-5,,,,0.00024,mg/m3,TRI,,,,"100,000,000 - 250,000,000 lb"
NICKEL OXIDE,1313-99-1,,,,0.1,ug/m3,OEHHA2003_CREL_UG_M3,,,,"10,000,000 - 50,000,000 lb"
VANADIUM OXIDE (5),1314-62-1,,,,,,,,,,"10,000,000 - 50,000,000 lb"
ZINC PHOSPHIDE,1314-84-7,,,,,,,,,,
XYLENE (MIXED ISOMERS),1330-20-7,,,,700,ug/m3,OEHHA2003_CREL_UG_M3,,,,"5,000,000,000 - 10,000,000,000 lb"
POLYCHLORINATED BIPHENYLS,1336-36-3,0.00057,[ug/m3]-1,OEHHA-TCD,1.2,ug/m3,CAPCOA,,,,
METHYL ETHYL KETONE PEROXIDE,1338-23-4,,,,,,,,,,"10,000,000 - 50,000,000 lb"
SODIUM SELENATE (H2O4SE.2NA),13410-01-0,,,,20,ug/m3,OEHHA-CREL,,,,
PHENAZOPYRIDINE HYDROCHLORIDE,136-40-3,4.3E-05,[ug/m3]-1,OEHHA-TCD,,,,,,,
SODIUM VANADIUM OXIDE,13718-26-8,,,,,,,,,,"1,000,000 - 10,000,000 lb"
THIRAM,137-26-8,,,,,,,,,,"1,000,000 - 10,000,000 lb"
LITHIUM CHROMATE,14307-35-8,,,,0.2,ug/m3,OEHHA-CREL,,,,
SODIUM CYANIDE,143-33-9,,,,,,,,,,"250,000,000 - 500,000,000 lb"
POTASSIUM CYANIDE,151-50-8,,,,,,,,,,"1,000,000 - 10,000,000 lb"
"1,2-TRANS-DICHLOROETHYLENE",156-60-5,,,,0.2,ppm,ATSDR,,,,"1,000,000 - 10,000,000 lb"
"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)",1746-01-6,38,[ug/m3]-1,OEHHA-TCD,4E-05,ug/m3,OEHHA2003_CREL_UG_M3,,,,
PROPACHLOR,1918-16-7,,,,,,,,,,
VINYLTOLUENE,25013-15-4,,,,0.04,mg/m3,HEAST,,,,"10,000,000 - 50,000,000 lb"
TOLUENE DIISOCYANATE (MIXED ISOMERS),26471-62-5,1.1E-05,[ug/m3]-1,OEHHA-TCD,0.07,ug/m3,OEHHA2003_CREL_UG_M3,,,,"500,000,000 - 750,000,000 lb"
"1,1,1-TRICHLORO-2,2-DIHYDROXYETHANE",302-17-0,,,,,,,,,,"< 25,000 lb"
